Time,IP Source,IP Destination,Attack Time
2017-04-26 18:12:02.016826,10.0.0.13,10.0.0.12,6s
2017-04-26 18:12:04.090027,10.0.0.13,10.0.0.12,8s
2017-04-26 18:12:06.166556,10.0.0.13,10.0.0.12,10s
2017-04-26 18:12:08.244811,10.0.0.13,10.0.0.12,12s
2017-04-26 18:12:10.324428,10.0.0.13,10.0.0.12,14s
2017-04-26 18:12:12.400428,10.0.0.13,10.0.0.12,16s
2017-04-26 18:12:14.481974,10.0.0.13,10.0.0.12,18s
2017-04-26 18:12:16.562974,10.0.0.13,10.0.0.12,20s
2017-04-26 18:12:18.642143,10.0.0.13,10.0.0.12,22s
2017-04-26 18:12:20.716746,10.0.0.13,10.0.0.12,24s
2017-04-26 18:12:22.789795,10.0.0.13,10.0.0.12,27s
2017-04-26 18:12:24.868578,10.0.0.13,10.0.0.12,29s
2017-04-26 18:12:26.948361,10.0.0.13,10.0.0.12,31s
2017-04-26 18:12:29.028438,10.0.0.13,10.0.0.12,33s
2017-04-26 18:12:31.104149,10.0.0.13,10.0.0.12,35s
2017-04-26 18:12:33.173036,10.0.0.13,10.0.0.12,37s
2017-04-26 18:22:10.400568,10.0.0.13,10.0.0.12,0s
2017-04-26 18:22:12.480127,10.0.0.13,10.0.0.12,2s
2017-04-26 18:22:14.559271,10.0.0.13,10.0.0.12,4s
2017-04-26 18:22:16.633453,10.0.0.13,10.0.0.12,6s
2017-04-26 18:22:18.710087,10.0.0.13,10.0.0.12,8s
2017-04-26 18:22:20.790753,10.0.0.13,10.0.0.12,10s
2017-04-26 18:22:22.864623,10.0.0.13,10.0.0.12,12s
2017-04-26 18:22:24.931183,10.0.0.13,10.0.0.12,14s
2017-04-26 18:22:27.012705,10.0.0.13,10.0.0.12,16s
2017-04-26 18:22:29.088474,10.0.0.13,10.0.0.12,18s
2017-04-26 18:22:31.168877,10.0.0.13,10.0.0.12,20s
2017-04-26 18:22:33.247324,10.0.0.13,10.0.0.12,22s
2017-04-26 18:22:35.315114,10.0.0.13,10.0.0.12,24s
2017-04-26 18:22:37.388404,10.0.0.13,10.0.0.12,27s
2017-04-26 18:22:39.464000,10.0.0.13,10.0.0.12,29s
2017-04-26 18:22:41.527634,10.0.0.13,10.0.0.12,31s
2017-04-26 18:22:45.594996,10.0.0.13,10.0.0.12,35s
2017-04-26 18:22:49.661807,10.0.0.13,10.0.0.12,39s
2017-04-26 18:22:53.727095,10.0.0.13,10.0.0.12,43s
2017-04-26 18:22:57.796444,10.0.0.13,10.0.0.12,47s
2017-04-26 18:23:01.865826,10.0.0.13,10.0.0.12,51s
2017-04-26 18:23:05.942483,10.0.0.13,10.0.0.12,55s
2017-04-26 18:23:10.013646,10.0.0.13,10.0.0.12,59s
2017-04-26 18:23:14.098517,10.0.0.13,10.0.0.12,3s
2017-04-26 18:23:16.173961,10.0.0.13,10.0.0.12,5s
2017-04-26 18:23:18.253441,10.0.0.13,10.0.0.12,7s
2017-04-26 18:23:20.332628,10.0.0.13,10.0.0.12,9s
2017-04-26 18:23:22.409332,10.0.0.13,10.0.0.12,12s
2017-04-26 18:23:24.486912,10.0.0.13,10.0.0.12,14s
2017-04-26 18:23:26.562107,10.0.0.13,10.0.0.12,16s
